Sample,Tumor
TCGAA2A0YI,0
TCGAA2A0YL,2
TCGAAOA0JG,1
TCGAA2A0YF,0
TCGABHA0DP,2
TCGABHA0E1,1
TCGAA2A0T6,2
TCGAA2A0T7,1
TCGABHA0BJ,1
TCGABHA0H7,0
TCGABHA0H6,0
TCGAA2A0YD,2
TCGABHA0HX,1
TCGAAOA12H,1
TCGAE2A10E,0
TCGAA2A0D3,0
TCGAA2A0EW,0
TCGABHA0GY,1
TCGAA2A0EV,0
TCGABHA0BC,1
TCGAA2A0YC,1
TCGAA2A0EU,0
TCGAA2A04Y,1
TCGAA2A0ES,1
TCGABHA0BA,2
TCGAE2A10B,1
TCGABHA0DH,1
TCGABHA0B4,1
TCGABHA0H9,1
TCGAAOA0J9,1
TCGAAOA12G,1
TCGABHA0E7,1
TCGABHA0BV,1
TCGAA2A0CZ,1
TCGAA2A0SU,1
TCGAAOA12E,2
TCGAA2A0CV,1
TCGAB6A0RG,2
TCGAA2A0CS,3
TCGAA2A0EO,0
TCGAA2A0CQ,0
TCGAAOA12A,1
TCGAA2A0CP,0
TCGAAOA126,1
TCGAA2A04N,0
TCGAAQA04L,1
TCGAB6A0IO,1
TCGAB6A0RV,2
TCGAB6A0RO,3
TCGAB6A0RN,0
TCGAA2A0EX,2
TCGAAOA0JJ,1
TCGAA1A0SH,1
TCGAA1A0SJ,2
TCGAA8A06P,0
TCGAA8A06Y,1
TCGAA8A07E,3
TCGAA8A07F,1
TCGAA8A07P,1
TCGAA8A083,2
TCGAA8A086,0
TCGAA8A08A,0
TCGAA8A08O,1
TCGAA8A08T,1
TCGAA8A08Z,3
TCGAA8A091,1
TCGAA8A099,3
TCGAA8A09A,1
TCGAA8A09B,3
TCGAA8A0A4,1
TCGAANA04A,1
TCGAANA0FD,1
TCGAANA0FS,0
TCGAANA0FT,1
TCGAANA0FW,1
TCGAANA0FZ,1
TCGAANA0XN,1
TCGAANA0XO,1
TCGAANA0XP,1
TCGAANA0XS,1
TCGAANA0XT,1
TCGAARA1AK,0
TCGAARA1AL,2
TCGAARA1AP,0
TCGAARA1AS,1
TCGAARA1AU,1
TCGAARA1AW,1
TCGAARA1AX,0
TCGABHA0AZ,2
TCGABHA0B0,0
TCGABHA0BM,1
TCGABHA0BO,0
TCGABHA0BP,0
TCGABHA0BQ,0
TCGABHA0BR,0
TCGABHA0BS,2
TCGABHA0BT,0
TCGABHA0C1,2
TCGABHA0DG,1
TCGABHA0DI,1
TCGABHA0DT,0
TCGABHA0E9,1
TCGABHA0EI,0
TCGABHA0H5,0
TCGABHA0HA,0
TCGABHA0W4,1
TCGABHA0W5,0
TCGABHA18H,0
TCGAC8A12N,1
TCGAC8A12Y,1
TCGAC8A132,1
TCGAC8A133,2
TCGAE2A14Q,1
TCGAE2A14Z,0
TCGAE2A153,0
TCGAE2A154,0
TCGAE2A156,0
TCGAE2A15C,0
TCGAE2A15E,0
TCGAE2A15G,1
TCGAE2A15H,0
TCGAE2A15J,0
TCGAE2A15O,1
TCGAE2A15P,0
TCGAE2A15R,0
TCGAE2A1B1,1
TCGAE2A1B4,0
TCGAE2A1B6,1
TCGAE2A1BC,0
TCGAE2A1BD,1
TCGAA2A0SV,1
TCGAAOA03O,1
TCGAA2A0SW,1
TCGABHA18J,3
TCGABHA18L,2
TCGABHA18U,1
TCGAARA0TY,1
TCGAB6A0RL,1
TCGAB6A0IB,2
TCGAAOA0J7,1
TCGAAOA0J3,1
TCGAD8A13Y,0
TCGAA7A13F,2
TCGABHA0HU,0
TCGAA7A0CJ,1
TCGAA2A0T3,0
TCGAA2A0T4,1
TCGAA2A0YH,1
TCGAA2A0YG,1
TCGAA2A0EY,1
TCGAA2A0D4,1
TCGABHA0AY,1
TCGAE2A107,2
TCGAAOA0JI,0
TCGAE2A10C,1
TCGAE2A10A,2
TCGABHA0C0,0
TCGAE2A109,1
TCGAAOA0JC,1
TCGABHA0HW,0
TCGAAOA0JD,2
TCGAAOA0JM,1
TCGAA2A0CT,1
TCGAAOA12B,1
TCGAA8A06N,3
TCGAA8A06Z,2
TCGAA8A079,3
TCGAA8A07W,1
TCGAA8A07Z,1
TCGAA8A082,1
TCGAA8A084,1
TCGAA8A085,1
TCGAA8A08G,1
TCGAA8A09C,1
TCGAA8A09I,1
TCGAA8A09M,1
TCGAA8A09R,1
TCGAANA041,1
TCGAANA049,1
TCGAANA0AJ,2
TCGAANA0AM,1
TCGAANA0AS,1
TCGAANA0FF,0
TCGAANA0FK,3
TCGAANA0FY,0
TCGAANA0XW,1
TCGAARA0TQ,2
TCGAARA0TT,1
TCGAARA0TV,1
TCGAARA0TZ,1
TCGAARA0U3,1
TCGAARA1AV,1
TCGABHA0AU,1
TCGABHA0B5,1
TCGABHA0BF,1
TCGABHA0BZ,2
TCGABHA0C3,0
TCGABHA0C7,1
TCGABHA0DD,1
TCGABHA18F,1
TCGAC8A12M,1
TCGAC8A12U,1
TCGAC8A12W,3
TCGAC8A12X,1
TCGAE2A14O,2
TCGAE2A14S,0
TCGAE2A14W,1
TCGAE2A155,1
TCGAE2A15A,1
TCGAE2A15K,1
TCGAE2A15M,1
TCGAAOA03U,0
TCGAA2A0YK,1
TCGAE2A108,1
TCGAAOA0JB,2
TCGAARA1AO,0
